Origin,Exact source,Cell_Type,Geneset_Enrichment,hs_protein,hs_gene,hs.total.genes,mm_protein,mm_gene,mm.total.genes,DOI
GOBP,GO:0002826,T cell,GOBP_NEGATIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE,,IL4R;JAK3;XCL1;TNFSF4;HAVCR2;IL33;IL1RL1,7,,,,
GOBP,GO:0045623,T cell,GOBP_NEGATIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION,,RC3H1;TBX21;ANXA1;HLX;IL2;IL4;IL4R;JAK3;SMAD7;FOXP3;ZBTB7B;RC3H2;BCL6;TNFSF4;ZC3H12A;LOXL3;TNFSF18;SOCS5,18,,,,
GOBP,GO:0043383,T cell,GOBP_NEGATIVE_T_CELL_SELECTION,,CCR7;DOCK2;GLI3;AIRE;THEMIS;PTPRC;SHH;ZAP70;CD3E;CD28;ATG5;CD74,12,,,,
GOBP,GO:0051132,NKT,GOBP_NK_T_CELL_ACTIVATION,,HSPH1;CD300A;IL23R;ELF4;IL12A;IL12B;IL15;IL18;JAK2;ZBTB7B;IL23A;RASAL3;TYK2,13,,,,
GOBP,GO:0001865,NKT,GOBP_NK_T_CELL_DIFFERENTIATION,,ATF2;ZNF683;ITK;ZBTB7B;PRDM1;TGFBR2;ZBTB16;AP3B1;AP3D1;TOX,10,,,,
GOBP,GO:0001866,NKT,GOBP_NK_T_CELL_PROLIFERATION,,ELF4;IL12B;IL15;IL18;JAK2;ZBTB7B;IL23A;RASAL3;TYK2,9,,,,
GOBP,GO:0042104,T cell,GOBP_POSITIVE_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION,,CD24;HHLA2;TMIGD2;IL23R;AGER;EPO;ICOSLG;PYCARD;HMGB1;IGF1;IGF2;IGFBP2;IL2;IL2RA;IL12B;IL12RB1;IL18;JAK3;MIR21;MIR30B;IL23A;PPP3CA;GPAM;RPS3;SLAMF1;STAT5B;TNFSF9;FADD,28,,,,
GOBP,GO:0046635,T cell,GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,,ADA;EBI3;HSPH1;MALT1;LILRB4;CD160;NLRP3;IL23R;CD55;PTPN22;GLI3;ANXA1;NCKAP1L;HLA-A;HLA-DRA;HLA-DRB1;HLA-DRB3;HLA-E;HLX;IFNG;IHH;IL2RG;IL4R;IL12A;IL12B;IL12RB1;IL18;ITPKB;JAK2;RHOA;LGALS9;MIR21;PNP;FOXP3;ZBTB7B;IL23A;SASH3;PRKCQ;PRKCZ;PTPRC;RARA;CCL19;XCL1;NFKBIZ;KLHL25;SHB;SHH;RASAL3;SYK;TGFBR2;TNFSF4;CCR2;TYK2;ZAP70;ZBTB16;NKAP;CARD11;NFKBID;AP3B1;RUNX1;RUNX3;CBFB;SOCS1;RIPK2;AP3D1;CD3E;CD83;CD28;CD80;CD86;SOCS5;CD81,72,,,,
GOBP,GO:0046638,T cell,GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION,,ADA;MALT1;LILRB4;NLRP3;IL23R;GLI3;ANXA1;NCKAP1L;HLA-DRA;HLA-DRB1;HLX;IFNG;IHH;IL2RG;IL4R;IL12B;IL12RB1;IL18;ITPKB;RHOA;LGALS9;MIR21;PNP;FOXP3;ZBTB7B;IL23A;SASH3;PRKCZ;RARA;CCL19;NFKBIZ;KLHL25;SHB;SHH;SYK;TGFBR2;TNFSF4;ZAP70;ZBTB16;NKAP;NFKBID;AP3B1;RUNX1;RUNX3;CBFB;SOCS1;RIPK2;AP3D1;CD83;CD80;CD86;SOCS5,52,,,,
GOBP,GO:0046641,T cell,GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION,,EBI3;CD55;PTPN22;HLA-A;HLA-E;IL12B;IL18;JAK2;LGALS9;IL23A;PRKCQ;PTPRC;XCL1;RASAL3;SYK;TGFBR2;TNFSF4;CCR2;TYK2;ZAP70;CARD11;RIPK2;CD3E;CD28;CD81,25,,,,
GOBP,GO:2000516,T cell,GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,,MALT1;CD160;NLRP3;IL23R;CD55;ANXA1;NCKAP1L;HLA-DRA;HLA-DRB1;HLA-DRB3;HLX;IFNG;IL2RG;IL4R;IL12B;IL12RB1;IL18;LGALS9;MIR21;FOXP3;ZBTB7B;IL23A;SASH3;PRKCQ;PRKCZ;RARA;CCL19;XCL1;NFKBIZ;KLHL25;SHB;TGFBR2;TNFSF4;CARD11;NFKBID;SOCS1;RIPK2;CD3E;CD83;CD28;CD80;CD86;SOCS5;CD81,44,,,,
GOBP,GO:0043372,T cell,GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,,MALT1;NLRP3;IL23R;ANXA1;NCKAP1L;HLA-DRA;HLA-DRB1;HLX;IFNG;IL2RG;IL4R;IL12B;IL12RB1;IL18;LGALS9;MIR21;FOXP3;ZBTB7B;IL23A;SASH3;PRKCZ;RARA;CCL19;NFKBIZ;KLHL25;SHB;TNFSF4;NFKBID;SOCS1;RIPK2;CD83;CD80;CD86;SOCS5,34,,,,
GOBP,GO:2000563,T cell,GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION,,CD55;LGALS9;PRKCQ;XCL1;TGFBR2;CARD11;RIPK2;CD3E;CD28;CD81,10,,,,
GOBP,GO:2001187,T cell,GOBP_POSITIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,,LILRB4;PTPN22;NCKAP1L;HLA-A;HLA-E;XCL1;RUNX1;RUNX3;CBFB,9,,,,
GOBP,GO:0043378,T cell,GOBP_POSITIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,,LILRB4;NCKAP1L;RUNX1;RUNX3;CBFB,5,,,,
GOBP,GO:0046645,T cell,GOBP_POSITIVE_REGULATION_OF_GAMMA_DELTA_T_CELL_ACTIVATION,,LILRB1;NCKAP1L;LEF1;PTPRC;NOD2;SOX4;STAT5B;SYK;SOX13,9,,,,
GOBP,GO:0045588,T cell,GOBP_POSITIVE_REGULATION_OF_GAMMA_DELTA_T_CELL_DIFFERENTIATION,,NCKAP1L;LEF1;PTPRC;SOX4;STAT5B;SYK;SOX13,7,,,,
GOBP,GO:0033091,T cell,GOBP_POSITIVE_REGULATION_OF_IMMATURE_T_CELL_PROLIFERATION,,IL1A;IL1B;FOXP3;SHH;BMI1;RIPK2,6,,,,
GOBP,GO:0043382,T cell,GOBP_POSITIVE_REGULATION_OF_MEMORY_T_CELL_DIFFERENTIATION,,IL23R;HLA-DRA;HLA-DRB1;IL12B;IL12RB1;CD46;PCK1;IL23A;TNFSF4,9,,,,
GOBP,GO:0045591,T cell,GOBP_POSITIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION,,LILRB2;BTN2A2;KAT5;LILRB4;DUSP10;CR1;FOXO3;IL4I1;HLA-DRA;HLA-DRB1;HLA-G;IFNG;IL2;IL2RG;LGALS9;CD46;FOXP3;AMBRA1;BCL6;VSIR;KLHL25;SOX12;SOCS1,23,,,,
GOBP,GO:0070234,T cell,GOBP_POSITIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS,,BCL2L11;ADAM8;LGALS16;PRELID1;CD274;IDO1;LGALS9;P2RX7;PDCD1;CCL5;TP53;WNT5A;ZC3H8,13,,,,
GOBP,GO:0002726,T cell,GOBP_POSITIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION,,ARID5A;MALT1;NLRP3;CD55;DENND1B;GATA3;TBX21;HLA-A;IL1B;IL1R1;IL4;IL6;IL18;SASH3;PRKCZ;B2M;XCL1;SLAMF1;MAP3K7;TRAF2;TRAF6;TNFSF4;FZD5;IL18R1;RSAD2;CD81,26,,,,
GOBP,GO:0033089,T cell,GOBP_POSITIVE_REGULATION_OF_T_CELL_DIFFERENTIATION_IN_THYMUS,,ADA;ADAM8;RASGRP1;EGR3;GLI2;IHH;IL2RG;IL7R;SHH;VNN1;TESPA1,11,,,,
GOBP,GO:0001916,T cell,GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY,,MICA;RAET1E;IL23R;RAET1L;HFE;HLA-A;HLA-B;HLA-C;HLA-DRA;HLA-DRB1;HLA-E;HLA-F;HLA-G;HLA-H;MR1;RAET1G;IL12A;IL12B;IL12RB1;MICB;P2RX7;IL23A;CYRIB;B2M;PTPRC;PVR;NECTIN2;XCL1;TAP2;ULBP3;ULBP2;ULBP1;STX7;FADD;CD1A;CD1B;CD1C;CD1D;CD1E;SLC22A13,40,,,,
GOBP,GO:0002842,T cell,GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL,,HLA-DRB1;HLA-DRB3;MR1;HSPD1;FBXO38;SLC22A13,6,,,,
GOBP,GO:0002711,T cell,GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,,MICA;ARID5A;MALT1;NLRP3;RAET1E;IL23R;RAET1L;CD55;DENND1B;ZBTB1;GATA3;TBX21;HFE;HLA-A;HLA-B;HLA-C;HLA-DRA;HLA-DRB1;HLA-DRB3;HLA-E;HLA-F;HLA-G;HLA-H;MR1;HSPD1;RAET1G;IL1B;IL1R1;IL4;IL6;IL12A;IL12B;IL12RB1;IL18;MICB;P2RX7;FOXP3;IL23A;CYRIB;SASH3;PRKCZ;B2M;PTPRC;PVR;NECTIN2;XCL1;SLAMF1;MAP3K7;TAP2;TRAF2;TRAF6;TNFSF4;ZP3;FZD5;ULBP3;ULBP2;ULBP1;FBXO38;STX7;FADD;IL18R1;CD1A;CD1B;CD1C;CD1D;CD1E;RSAD2;SLC22A13;CD81,69,,,,
GOBP,GO:2000406,T cell,GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION,,ADAM8;ADAM10;CXCL13;CORO1A;AIF1;ABL1;ABL2;STK39;TMEM102;PYCARD;APP;CXCL10;ITGA4;ITGB3;RHOA;SELENOK;S100A7;CCL5;CCL20;CCL21;XCL1;CXCL12;WNK1;SPN;XCL2;ADAM17;CCR2;WNT5A;DOCK8;CD99L2;TNFSF14;TNFRSF14;FADD;OXSR1,34,,,,
GOBP,GO:0042102,T cell,GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION,,CD24;EBI3;LILRB2;TNFSF13B;HHLA2;CORO1A;TNFRSF13C;TMIGD2;IL23R;CLECL1P;CD55;DHPS;AGER;EFNB1;AIF1;EPO;ICOSLG;PTPN22;CCDC88B;PYCARD;CD274;ANXA1;NCKAP1L;CD209;HLA-A;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-E;HMGB1;HES1;IGF1;IGF2;IGFBP2;IL1A;IL1B;IL2;IL2RA;IL4;IL6;IL6ST;IL12B;IL12RB1;IL15;IL18;JAK2;JAK3;LEP;LGALS9;MIR21;MIR30B;CD46;KITLG;NCK1;PNP;FOXP3;IL23A;SASH3;PPP3CA;PRKCQ;GPAM;ZP4;PTPRC;SELENOK;IL21;RPS3;CCL5;CCL19;XCL1;SHH;BMI1;RASAL3;SLAMF1;SLC7A1;SPTA1;STAT5B;SYK;TFRC;TGFBR2;TRAF6;TNFSF4;CCR2;TYK2;VCAM1;ZAP70;ZP3;VTCN1;PDCD1LG2;CD276;NCK2;CARD11;HAVCR2;TNFSF9;RIPK2;FADD;DNAJA3;CD1D;CD3E;CD6;CD28;CD80;CD86;CD40LG;CD70;CD81,105,,,,
GOBP,GO:0050862,T cell,GOBP_POSITIVE_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY,,ADA;CD226;CCR7;PRKD2;KCNN4;LCK;TRAT1;NECTIN2;RELA;RPS3;CARD11;IKBKG;BCL10;RAB29;CD81;TESPA1,16,,,,
GOBP,GO:0002666,T cell,GOBP_POSITIVE_REGULATION_OF_T_CELL_TOLERANCE_INDUCTION,,LILRB2;LILRB4;HLA-G;IDO1;FOXP3;TGFBR2;ITCH;CBLB;CD3E,9,,,,
GOBP,GO:2000321,T cell,GOBP_POSITIVE_REGULATION_OF_T_HELPER_17_CELL_DIFFERENTIATION,,MALT1;IL23R;IL12B;IL12RB1;MIR21;IL23A;NFKBIZ;NFKBID,8,,,,
GOBP,GO:2000318,T cell,GOBP_POSITIVE_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE,,ARID5A;MALT1;IL23R;NLRP10;IL12B;IL12RB1;JAK2;MIR21;IL23A;PRKCQ;CARD9;NFKBIZ;CLEC7A;TYK2;NFKBID;CLEC6A,16,,,,
GOBP,GO:0045627,T cell,GOBP_POSITIVE_REGULATION_OF_T_HELPER_1_CELL_DIFFERENTIATION,,ANXA1;HLX;CCL19;RIPK2;CD80;SOCS5,6,,,,
GOBP,GO:0002827,T cell,GOBP_POSITIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE,,ARID5A;IL23R;TBX21;NLRP10;IL1B;IL1R1;IL12B;IL12RB1;IL18;IL23A;PLA2G4A;XCL1;SLAMF1;SLC11A1;CCR2;RIPK2;IL18R1;IL27RA,18,,,,
GOBP,GO:2000553,T cell,GOBP_POSITIVE_REGULATION_OF_T_HELPER_2_CELL_CYTOKINE_PRODUCTION,,NLRP3;DENND1B;GATA3;IL4;IL6;PRKCZ;XCL1;RSAD2;CD81,9,,,,
GOBP,GO:0045630,T cell,GOBP_POSITIVE_REGULATION_OF_T_HELPER_2_CELL_DIFFERENTIATION,,NLRP3;IL4R;IL18;PRKCZ;RARA;TNFSF4;CD86,7,,,,
GOBP,GO:0045624,T cell,GOBP_POSITIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION,,MALT1;NLRP3;IL23R;ANXA1;HLX;IL4R;IL12B;IL12RB1;IL18;MIR21;IL23A;PRKCZ;RARA;CCL19;NFKBIZ;SHB;TNFSF4;NFKBID;RIPK2;CD80;CD86;SOCS5,22,,,,
GOBP,GO:0043368,T cell,GOBP_POSITIVE_T_CELL_SELECTION,,BATF;SLAMF6;IL23R;CTSL;ZFPM1;DOCK2;MTOR;TBX21;IL6;IL6R;IL12B;IL12RB1;IRF4;ITPKB;THEMIS;LY9;FOXP3;IL23A;PTPN2;PTPRC;BCL2;SHH;BCL11B;SPN;SRF;BRAF;STAT3;STAT6;STK11;ZAP70;FOXN1;LOXL3;TNFSF18;CD3D;CD3E;CD3G;CD74;TOX,38,,,,
GOBP,GO:0045059,T cell,GOBP_POSITIVE_THYMIC_T_CELL_SELECTION,,DOCK2;ITPKB;PTPN2;PTPRC;SHH;SRF;STK11;ZAP70;FOXN1;CD3D;CD3E;CD3G;CD74;TOX,14,,,,
GOBP,GO:2000514,T cell,GOBP_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,,BATF;MALT1;CD160;NLRP3;RC3H1;IL23R;CD55;AGER;IL27;GATA3;LGALS9B;CD274;TBX21;ANXA1;NCKAP1L;HLA-DRA;HLA-DRB1;HLA-DRB3;HLX;HMGB1;IFNG;IL2;IL2RA;IL2RG;IL4;IL4R;IL12B;IL12RB1;IL18;IRF4;JAK3;JUNB;ARG2;LGALS9;MIR21;SMAD7;TARM1;FOXP3;ZBTB7B;IL23A;SASH3;RC3H2;PRKCQ;PRKCZ;TWSG1;SH3RF1;RARA;BCL6;CCL19;XCL1;VSIR;NFKBIZ;KLHL25;SHB;LGALS9C;TGFBR2;TNFSF4;ZC3H12A;NDFIP1;ITCH;CARD11;LOXL3;NFKBID;RUNX1;RUNX3;CBFB;SOCS1;CBLB;RIPK2;TNFSF18;CD3E;CD83;CD28;CD80;CD86;SOCS5;CD81,77,,,,
GOBP,GO:0043370,T cell,GOBP_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,,BATF;MALT1;NLRP3;RC3H1;IL23R;IL27;GATA3;TBX21;ANXA1;NCKAP1L;HLA-DRA;HLA-DRB1;HLX;HMGB1;IFNG;IL2;IL2RG;IL4;IL4R;IL12B;IL12RB1;IL18;IRF4;JAK3;JUNB;LGALS9;MIR21;SMAD7;FOXP3;ZBTB7B;IL23A;SASH3;RC3H2;PRKCZ;SH3RF1;RARA;BCL6;CCL19;NFKBIZ;KLHL25;SHB;TNFSF4;ZC3H12A;LOXL3;NFKBID;RUNX1;RUNX3;CBFB;SOCS1;RIPK2;TNFSF18;CD83;CD80;CD86;SOCS5,55,,,,
GOBP,GO:0032829,T cell,GOBP_REGULATION_OF_CD4_POSITIVE_CD25_POSITIVE_ALPHA_BETA_REGULATORY_T_CELL_DIFFERENTIATION,,HLA-DRA;HLA-DRB1;IFNG;IL2RG;LGALS9;FOXP3;KLHL25,7,,,,
GOBP,GO:2001185,T cell,GOBP_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,,LILRB1;LILRB4;PTPN22;CD274;NCKAP1L;HFE;HLA-A;HLA-E;IRF1;ZBTB7B;CRTAM;SH3RF1;XCL1;VSIR;SLC4A2;RUNX1;RUNX3;CBFB;SOCS1;MAPK8IP1,20,,,,
GOBP,GO:0043376,T cell,GOBP_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,,LILRB4;NCKAP1L;ZBTB7B;SLC4A2;RUNX1;RUNX3;CBFB;SOCS1,8,,,,
GOBP,GO:1903903,T cell,GOBP_REGULATION_OF_ESTABLISHMENT_OF_T_CELL_POLARITY,,FLOT2;ABL1;ABL2;GSN;DOCK8;RIPOR2,6,,,,
GOBP,GO:0051133,NKT,GOBP_REGULATION_OF_NK_T_CELL_ACTIVATION,,HSPH1;CD300A;IL23R;IL12A;IL12B;IL18;JAK2;ZBTB7B;IL23A;RASAL3;TYK2,11,,,,
GOBP,GO:0051136,NKT,GOBP_REGULATION_OF_NK_T_CELL_DIFFERENTIATION,,ZNF683;PRDM1;TGFBR2;ZBTB16;AP3B1;AP3D1,6,,,,
GOBP,GO:0051140,NKT,GOBP_REGULATION_OF_NK_T_CELL_PROLIFERATION,,IL12B;IL18;JAK2;ZBTB7B;IL23A;RASAL3;TYK2,7,,,,
GOBP,GO:0050863,T cell,GOBP_REGULATION_OF_T_CELL_ACTIVATION,,ADA;CD24;KLRC4-KLRK1;TSPAN32;ADAM8;RASGRP1;EBI3;LILRB2;SIRPB1;BTN2A2;GPNMB;CEBPB;KAT5;BATF;TNFSF13B;HSPH1;LILRB1;FGL2;MALT1;SPINK5;LILRB4;RIPK3;CD160;GLMN;HHLA2;CORO1A;DUSP10;TREX1;CD300A;VSIG4;NLRP3;CGAS;TNFRSF13C;CLC;CLPTM1;CCR7;TMIGD2;MAP3K8;ADORA2A;CR1;SIRPA;CSK;PIK3R6;RC3H1;IL23R;CTLA4;CTNNB1;CTSG;CLECL1P;CD55;DHPS;DLG1;AGER;DPP4;DTX1;DUSP3;EFNB1;EFNB2;EFNB3;EGR3;ARID2;AIF1;TIGIT;EPO;ERBB2;AKT1;FANCA;FANCD2;FCGR2B;FGL1;ZBTB1;KLRK1;FOXJ1;FOXO3;FCHO1;FLOT2;TMEM131L;ICOSLG;SCRIB;IL27;ABL1;FYN;ZNF683;IL4I1;LRRC32;PTPN22;GATA3;PLA2G2D;KAT2A;ABL2;LAT;PRELID1;IL36B;SIT1;TNFRSF21;GLI2;GLI3;IFNL1;CCDC88B;LGALS9B;DROSHA;PYCARD;BRD7;CD274;ICOS;TBX21;ANXA1;NCKAP1L;HFE;PLA2G2E;CD209;HLA-A;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB3;HLA-DRB4;HLA-DRB5;HLA-E;HLA-G;HLX;HMGB1;HES1;HSPD1;CLEC4G;IFNA2;IFNB1;IFNG;IGF1;IGF2;IGFBP2;IHH;IL1A;IL1B;IL2;IL2RA;IL2RG;IL4;IL4R;IL6;IL6ST;IL7;IL7R;IL10;IL12A;IL12B;IL12RB1;IL15;TNFRSF9;IL18;IDO1;IRF1;IRF4;ITPKB;JAK2;JAK3;JUNB;ARG1;ARG2;RHOA;ILDR2;LAG3;LCK;LEP;LGALS1;LGALS3;LGALS9;RHOH;LMO1;LYN;MIR181C;MIR21;MIR27A;MIR30B;SMAD7;CD46;MDK;KITLG;NRARP;TARM1;NCK1;PNP;PAWR;FOXP3;ZBTB7B;PCK1;LEF1;ACTL6B;IL23A;CYRIB;PIK3CA;PLA2G2A;PLA2G5;IL20RB;SASH3;RC3H2;LAX1;PBRM1;PHF10;PPP3CA;SIRPG;AMBRA1;PRKAR1A;PAG1;PRKCQ;PRKCZ;PRNP;CRTAM;METTL3;CYP26B1;B2M;PSG9;DUSP22;TWSG1;PELI1;ZMIZ1;BAD;ARID1B;SH3RF1;GPAM;PTPN2;PTPN6;PTPN11;ZP4;SLC46A2;PTPRC;SELENOK;RAC2;RAG1;RAG2;IL21;RARA;ACTB;BCL6;RPS3;CEACAM1;CCL2;CCL5;CCL19;CCL21;BID;XCL1;SDC4;PRDM1;VSIR;NOD2;NFKBIZ;SFTPD;KLHL25;PLA2G2F;SHB;SHH;BMI1;MARCHF7;RASAL3;SLAMF1;BMP4;SLC4A2;SLC7A1;LGALS9C;SMARCA2;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCD2;SMARCD3;SMARCE1;SOD1;SOS1;SOS2;SOX4;SOX12;SPN;SPTA1;SRC;BRAF;STAT5B;SYK;TCF7;ZEB1;PRDX2;TFRC;TGFBR2;THY1;TNFRSF1B;TRAF6;TNFSF4;CCR2;TYK2;SCGB1A1;VAV1;VCAM1;WNT10B;XBP1;YES1;ZAP70;ZBTB16;ZP3;LAPTM5;NKAP;TNFAIP8L2;VTCN1;ZC3H12A;PDCD1LG2;CD276;NDFIP1;CAMK4;DOCK8;ARID1A;CASP3;ITCH;MAD1L1;NCK2;CARD11;ZC3H8;FOXN1;LOXL3;NFKBID;HAVCR2;AP3B1;CAV1;ACTL6A;TNFSF11;RUNX1;RUNX3;CBFB;SOCS1;PDE5A;CBLB;TNFSF14;TNFSF9;TNFRSF14;RIPK2;FADD;IL1RL2;VNN1;BCL10;AP3D1;TNFSF18;SART1;DNAJA3;CD1D;CD2;CD3E;CD4;CD5;CD6;DLG5;SOCS6;CD83;CD27;CD28;CD80;CD86;TNFSF8;MAPK8IP1;SOX13;CD40LG;CD47;SOCS5;CD70;CD74;CD81;RIPOR2;TOX;TESPA1,377,,,,
GOBP,GO:2001188,T cell,GOBP_REGULATION_OF_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL,,LILRB1;HLA-DMB;LGALS3;LGALS9;HAVCR2;CD81,6,,,,
GOBP,GO:0070232,T cell,GOBP_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS,,ADA;BCL2L11;ADAM8;RIPK3;LGALS16;GIMAP8;PTCRA;TSC22D3;EFNA1;KIFAP3;PRKD2;PRELID1;CD274;HIF1A;IL7R;IDO1;JAK3;ARG2;LGALS3;LGALS9;P2RX7;PDCD1;PIP;PRKCQ;GPAM;SLC46A2;RAG1;BCL2;BCL3;CCL5;ST3GAL1;BCL11B;BMP4;TP53;WNT5A;DOCK8;ZC3H8;FADD;CD27,39,,,,
